hospital_name,last_updated_on,version,location_name,hospital_address,type_2_npi,license_number|FL,"To the best of its knowledge and belief, this hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date in the file. This hospital has included all payer-specific negotiated charges in dollars that can be expressed as a dollar amount. For payer-specific negotiated charges that cannot be expressed as a dollar amount in the machine-readable file or not knowable in advance, the hospital attests that the payer-specific negotiated charge is based on a contractual algorithm, percentage or formula that precludes the provision of a dollar amount and has provided all necessary information available to the hospital for the public to be able to derive the dollar amount, including, but not limited to, the specific fee schedule or components referenced in such percentage, algorithm or formula.",attester_name,,,,,,,,,,,,,,,,,,
"Endo, single, pulmonary",2042,APC,,,,,facility,outpatient,,,,,,Florida Community Care,Medicaid Managed Care Plan,,,"[Outpatient Services: Payer leverages state specific Medicaid payment methodology. Available, referenceable algorithm logic found here: https://ahca.myflorida.com/medicaid/]",,,,0,other,,,No services performed during 15-month lookback period.
"Endo, single, pulmonary",2042,APC,,,,,facility,outpatient,,,,,,Gulf Coast Provider Network,All Commercial Plans,,75,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
"Endo, single, pulmonary",2042,APC,,,,,facility,outpatient,,,,,,Humana,Medicaid Managed Care Plan,,,"[Outpatient Services: Payer leverages state specific Medicaid payment methodology. Available, referenceable algorithm logic found here: https://ahca.myflorida.com/medicaid/]",3390.46,2868.83,3420.36,1 through 10,other,,,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
"Endo, single, pulmonary",2042,APC,,,,,facility,outpatient,,,,,,Molina,Medicaid Managed Care Plan,,,"[Outpatient Services: Payer leverages state specific Medicaid payment methodology. Available, referenceable algorithm logic found here: https://ahca.myflorida.com/medicaid/]",,,,0,other,,,No services performed during 15-month lookback period.
"Endo, single, pulmonary",2042,APC,,,,,facility,outpatient,,,,,,Multiplan,All Commercial Plans,,78,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
"Endo, single, pulmonary",2042,APC,,,,,facility,outpatient,,,,,,Phcs,All Commercial Plans,,68,,5691,5691,5691,1 through 10,percent of total billed charges,,,
"Endo, single, pulmonary",2042,APC,,,,,facility,outpatient,,,,,,Prestige,Medicaid Managed Care Plan,,,"[Outpatient Services: Payer leverages state specific Medicaid payment methodology. Available, referenceable algorithm logic found here: https://ahca.myflorida.com/medicaid/]",,,,0,other,,,No services performed during 15-month lookback period.
"Endo, single, pulmonary",2042,APC,,,,,facility,outpatient,,,,,,Simply Health,Healthy Kids Medicaid Managed Care Plan,,,"[Outpatient Services: Payer leverages state specific Medicaid payment methodology. Available, referenceable algorithm logic found here: https://ahca.myflorida.com/medicaid/]",3139.66,3139.66,4728.37,1 through 10,other,,,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
"Endo, single, pulmonary",2042,APC,,,,,facility,outpatient,,,,,,Simply Health,Medicaid Managed Care Plan,,,"[Outpatient Services: Payer leverages state specific Medicaid payment methodology. Available, referenceable algorithm logic found here: https://ahca.myflorida.com/medicaid/]",2967.98,2103.1,3906.3,1 through 10,other,,,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
"Endo, single, pulmonary",2042,APC,,,,,facility,outpatient,,,,,,Sunshine Health,Medicaid Managed Care Plan,,,"[Outpatient Services: Payer leverages state specific Medicaid payment methodology. Available, referenceable algorithm logic found here: https://ahca.myflorida.com/medicaid/]",3081.52,2787.98,3986.8,24,other,,,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
"Endo, single, pulmonary",2042,APC,,,,,facility,outpatient,,,,,,Unitedhealthcare,Medicaid Managed Care Plan,,,"[Outpatient Services: Payer leverages state specific Medicaid payment methodology. Available, referenceable algorithm logic found here: https://ahca.myflorida.com/medicaid/]",3430.41,3430.41,3774.17,1 through 10,other,,,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
"Endo, single, pulmonary",2042,APC,,,,,facility,outpatient,,,,,,Unitedhealthcare,All Commercial Plans,,,"[Lesser Than Charges paid at %: 100] [OP Surg. Group 0 ($): FEE SCHEDULE] [OP Surg. Group 1 ($): FEE SCHEDULE] [OP Surg. Group 2 ($): FEE SCHEDULE] [OP Surg. Group 3 ($): FEE SCHEDULE] [OP Surg. Group 4 ($): FEE SCHEDULE] [OP Surg. Group 5 ($): FEE SCHEDULE] [OP Surg. Group 6 ($): FEE SCHEDULE] [OP Surg. Group 7 ($): FEE SCHEDULE] [OP Surg. Group 8 ($): FEE SCHEDULE] [OP Surg. Group 9 ($): FEE SCHEDULE] [OP Surg. Group 10 ($): FEE SCHEDULE] [OP Surg. Ungroupable ($): 5664] [Observation ($): 9031] [Emergency Department ($): 3463] [Urgent Care ($): 1015] [Cardiac Rehabilitation Therapy ($): 555] [Cardiac Stress Test ($): 1057] [Cardiology ($): 15759] [Echocardiology ($): 3192] [EKG/ECG ($): 312] [Electrophysiology Ablation ($): 53655] [Electrophysiology and Mapping Studies ($): 12864] [Holter Monitor/Telemetry ($): 1487] [Peripheral Vascular Lab ($): 501] [EEG ($): 1676] [EMG ($): 442] [MEG ($): 1581] [Neuropsychological Testing and Biofeedback ($): 281] [Sleep Studies ($): 3092] [Chemotherapy ($): 442] [Nuclear Medicine Fee Schedule: FEE SCHEDULE] [Oncology ($): 695] [Radiation Therapy ($): 281] [CT Scan OP ($): FEE SCHEDULE] [MRI OP ($): FEE SCHEDULE] [Imaging Services ($): FEE SCHEDULE] [Mammography-Diagnostic Fee Schedule: FEE SCHEDULE] [Mammography-Screening Fee Schedule: FEE SCHEDULE] [Positron Emission Tomography ($): FEE SCHEDULE] [Radiology Fee Schedule: FEE SCHEDULE] [Ultrasound Imaging ($): FEE SCHEDULE] [Laboratory Fee Schedule: FEE SCHEDULE] [Pathology Fee Schedule: FEE SCHEDULE] [Hemodialysis ($): 587] [Peritoneal Dialysis, CAPD, and CCPD ($): 766] [Occupational Therapy ($): 587] [Physical Therapy ($): 587] [Resp. Services/Therapy ($): 129] [Speech Therapy ($): 587] [OP High Cost Drugs ($): FEE SCHEDULE] [Ambulance--Air ($): 3386] [Ambulance--Land ($): 564] [Hyperbarics ($): 2217] [IV Therapy ($): 1051] [Pulmonary Function ($): 325] [Pulmonary Rehabilitation ($): 428] [Trauma ($): 7956]",7919.58,6337.74,8794.58,11,other,,,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
"Endo, single, pulmonary",2042,APC,,,,,facility,outpatient,,,,,,Unitedhealthcare,Neighborhood Health Partnership Other Commercial Plan,,,"[Lesser Than Charges paid at %: 100] [OP Surg. Group 0 ($): FEE SCHEDULE] [OP Surg. Group 1 ($): FEE SCHEDULE] [OP Surg. Group 2 ($): FEE SCHEDULE] [OP Surg. Group 3 ($): FEE SCHEDULE] [OP Surg. Group 4 ($): FEE SCHEDULE] [OP Surg. Group 5 ($): FEE SCHEDULE] [OP Surg. Group 6 ($): FEE SCHEDULE] [OP Surg. Group 7 ($): FEE SCHEDULE] [OP Surg. Group 8 ($): FEE SCHEDULE] [OP Surg. Group 9 ($): FEE SCHEDULE] [OP Surg. Group 10 ($): FEE SCHEDULE] [OP Surg. Ungroupable ($): 5097] [Observation ($): 8127] [Emergency Department ($): 3117] [Urgent Care ($): 913] [Cardiac Rehabilitation Therapy ($): 499] [Cardiac Stress Test ($): 951] [Cardiology ($): 14184] [Echocardiology ($): 2873] [EKG/ECG ($): 281] [Electrophysiology Ablation ($): 48290] [Electrophysiology and Mapping Studies ($): 11577] [Holter Monitor/Telemetry ($): 1338] [Peripheral Vascular Lab ($): 452] [EEG ($): 1510] [EMG ($): 398] [MEG ($): 1424] [Neuropsychological Testing and Biofeedback ($): 253] [Sleep Studies ($): 2782] [Chemotherapy ($): 398] [Nuclear Medicine Fee Schedule: FEE SCHEDULE] [Oncology ($): 626] [Radiation Therapy ($): 253] [CT Scan OP ($): FEE SCHEDULE] [MRI OP ($): FEE SCHEDULE] [Imaging Services ($): FEE SCHEDULE] [Mammography-Diagnostic Fee Schedule: FEE SCHEDULE] [Mammography-Screening Fee Schedule: FEE SCHEDULE] [Positron Emission Tomography ($): FEE SCHEDULE] [Radiology Fee Schedule: FEE SCHEDULE] [Ultrasound Imaging ($): FEE SCHEDULE] [Laboratory Fee Schedule: FEE SCHEDULE] [Pathology Fee Schedule: FEE SCHEDULE] [Hemodialysis ($): 528] [Peritoneal Dialysis, CAPD, and CCPD ($): 690] [Occupational Therapy ($): 528] [Physical Therapy ($): 528] [Resp. Services/Therapy ($): 116] [Speech Therapy ($): 528] [OP High Cost Drugs ($): FEE SCHEDULE] [Ambulance--Air ($): 3048] [Ambulance--Land ($): 507] [Hyperbarics ($): 1996] [IV Therapy ($): 946] [Pulmonary Function ($): 292] [Pulmonary Rehabilitation ($): 385] [Trauma ($): 7159]",,,,0,other,,,No services performed during 15-month lookback period.
Clinic Visits and Related Services,5012,APC,,,,,facility,outpatient,,,,,,Advent Health,All Commercial Plans,,70,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
Clinic Visits and Related Services,5012,APC,,,,,facility,outpatient,,,,,,Aetna,Better Health Medicaid Managed Care Plan,,,"[Outpatient Services: Payer leverages state specific Medicaid payment methodology. Available, referenceable algorithm logic found here: https://ahca.myflorida.com/medicaid/]",290.86,290.86,290.86,1 through 10,other,,,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
Clinic Visits and Related Services,5012,APC,,,,,facility,outpatient,,,,,,Aetna,Medicare Managed Care Plan,,,[Outpatient Services: Payer leverages Medicare payment methodology that is excluded from the Medicare Inpatient Prospective Payment System (IPPS) and Outpatient Prospective Payment System (OPPS). Medicare logic based on reasonable costs.],,,,0,other,,,No services performed during 15-month lookback period.
Clinic Visits and Related Services,5012,APC,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,,,[Lesser Than Charges paid at %: 100] [OP Surg. Group 1 ($): FEE SCHEDULE] [OP Surg. Group 2 ($): FEE SCHEDULE] [OP Surg. Group 3 ($): FEE SCHEDULE] [OP Surg. Group 4 ($): FEE SCHEDULE] [OP Surg. Group 5 ($): FEE SCHEDULE] [OP Surg. Group 6 ($): FEE SCHEDULE] [OP Surg. Group 7 ($): FEE SCHEDULE] [OP Surg. Group 8 ($): FEE SCHEDULE] [OP Surg. Group 9 ($): FEE SCHEDULE] [OP Surg. Ungroupable ($): 6979] [Cardiac Cath (%BC): 72.4] [Lithotripsy ($): 29491] [Observation (%BC): 72.4 Maximum Reimbursement 13019] [Emergency Department ($): 3160] [Other Cardiac Testing (%BC): 72.4] [Sleep Studies (%BC): 72.4] [Chemotherapy (%BC): 72.4] [Radiology Fee Schedule: FEE SCHEDULE] [Laboratory Fee Schedule: FEE SCHEDULE] [Occupational Therapy (%BC): 72.4] [Physical Therapy (%BC): 72.4] [Speech Therapy (%BC): 72.4] [Other Outpatient Implant ($): 0 Charge Threshold 1000 (%BC): 54.1] [All Other OP (%BC): 72.4],,,,0,other,,,No services performed during 15-month lookback period.
Clinic Visits and Related Services,5012,APC,,,,,facility,outpatient,,,,,,Avmed,All Commercial Plans,,54,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
Clinic Visits and Related Services,5012,APC,,,,,facility,outpatient,,,,,,Bcbs,Tier 1 All Commercial Plans,,,[Lesser Than Charges paid at %: 100] [OP Surg. Group 1 ($): FEE SCHEDULE] [OP Surg. Group 2  (%BC): 43.73 Maximum Reimbursement 14282] [OP Surg. Group 3  (%BC): 43.73 Maximum Reimbursement 14282] [OP Surg. Group 4  (%BC): 43.73 Maximum Reimbursement 14282] [OP Surg. Group 5 ($): FEE SCHEDULE] [OP Surg. Group 6 ($): FEE SCHEDULE] [OP Surg. Group 7 ($): FEE SCHEDULE] [OP Surg. Group 8 ($): FEE SCHEDULE] [OP Surg. Group 9 ($): FEE SCHEDULE] [OP Surg. Group 10 ($): FEE SCHEDULE] [OP Surg. Ungroupable ($): 9256] [Cardiac Cath ($): 12288] [Lithotripsy ($): 9830] [PTCA (%BC): 46.55 Maximum Reimbursement 65232] [Observation (%BC): 47.97 Maximum Reimbursement 15852] [Emergency Department ($): 2745] [Cardiology ($): 3300] [EEG ($): 3172] [Chemotherapy (%BC): 57.69 Maximum Reimbursement 65232] [Nuclear Medicine ($): 3071] [Radiation Therapy ($): 3134] [CT Scan OP ($): 2181] [MRI OP (%BC): 50.89 Maximum Reimbursement 28044] [Positron Emission Tomography ($): 9953] [Laboratory (%BC): 52.46 Maximum Reimbursement 5816] [Occupational Therapy (%BC): 52.46 Maximum Reimbursement 8554] [Physical Therapy (%BC): 52.46] [Speech Therapy (%BC): 52.46] [OP High Cost Drugs ($): FEE SCHEDULE] [Other Pharmacy ($): FEE SCHEDULE] [Other Outpatient Implant (%BC): 40] [IV Therapy (%BC): 53.84 Maximum Reimbursement 28044] [All Other OP (%BC): 48.98 Maximum Reimbursement 15852],2479.22,1838.37,4762.68,21,other,,,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
Clinic Visits and Related Services,5012,APC,,,,,facility,outpatient,,,,,,Bcbs,Tier 2 All Commercial Plans,,,[Lesser Than Charges paid at %: 100] [OP Surg. Group 1 ($): FEE SCHEDULE] [OP Surg. Group 2  (%BC): 47.20 Maximum Reimbursement 15424] [OP Surg. Group 3  (%BC): 47.20 Maximum Reimbursement 15424] [OP Surg. Group 4  (%BC): 47.20 Maximum Reimbursement 15424] [OP Surg. Group 5 ($): FEE SCHEDULE] [OP Surg. Group 6 ($): FEE SCHEDULE] [OP Surg. Group 7 ($): FEE SCHEDULE] [OP Surg. Group 8 ($): FEE SCHEDULE] [OP Surg. Group 9 ($): FEE SCHEDULE] [OP Surg. Group 10 ($): FEE SCHEDULE] [OP Surg. Ungroupable ($): 9996] [Cardiac Cath ($): 13271] [Lithotripsy ($): 10616] [PTCA (%BC): 50.26 Maximum Reimbursement 70450] [Observation (%BC): 51.79 Maximum Reimbursement 17120] [Emergency Department ($): 2964] [Cardiology ($): 3565] [EEG ($): 3428] [Chemotherapy (%BC): 62.33 Maximum Reimbursement 70450] [Nuclear Medicine ($): 3318] [Radiation Therapy ($): 3385] [CT Scan OP ($): 2355] [MRI OP (%BC): 54.96 Maximum Reimbursement 30288] [Positron Emission Tomography ($): 10749] [Laboratory (%BC): 56.66 Maximum Reimbursement 6282] [Occupational Therapy (%BC): 56.66 Maximum Reimbursement 9239] [Physical Therapy (%BC): 56.66] [Speech Therapy (%BC): 56.66] [OP High Cost Drugs ($): FEE SCHEDULE] [Other Pharmacy ($): FEE SCHEDULE] [Other Outpatient Implant (%BC): 40] [IV Therapy (%BC): 58.15 Maximum Reimbursement 30288] [All Other OP (%BC): 52.88 Maximum Reimbursement 17120],189.99,189.99,189.99,1 through 10,other,,,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
Clinic Visits and Related Services,5012,APC,,,,,facility,outpatient,,,,,,Cigna,Hmo,,45,,55.51,55.51,55.51,1 through 10,percent of total billed charges,,,
Clinic Visits and Related Services,5012,APC,,,,,facility,outpatient,,,,,,Cigna,Baycare Other Commercial Plan,,,[Lesser Than Charges paid at %: 100] [OP Surgery  (%BC): 80] [Lithotripsy ($): 7480] [Observation (%BC): 80 Maximum Reimbursement 4400] [Emergency Department (%BC): 80 Maximum Reimbursement 1900] [CT Scan OP ($): 522] [MRI OP ($): 1250] [Positron Emission Tomography ($): 2090] [Occupational Therapy ($): 85] [Physical Therapy ($): 85] [Respiratory Services/Therapy  (%BC): 80] [Speech Therapy ($): 85] [OP High Cost Drugs (%BC): 70] [Other Outpatient Implant (%BC): 70] [All Other OP (%BC): 80],,,,0,other,,,No services performed during 15-month lookback period.
Clinic Visits and Related Services,5012,APC,,,,,facility,outpatient,,,,,,Cigna,Ppo,,60,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
Clinic Visits and Related Services,5012,APC,,,,,facility,outpatient,,,,,,Community Care Plan,Medicaid Managed Care Plan,,,"[Outpatient Services: Payer leverages state specific Medicaid payment methodology. Available, referenceable algorithm logic found here: https://ahca.myflorida.com/medicaid/]",,,,0,other,,,No services performed during 15-month lookback period.
Clinic Visits and Related Services,5012,APC,,,,,facility,outpatient,,,,,,Community Care Plan,Healthy Kids Medicaid Managed Care Plan,,,"[Outpatient Services: Payer leverages state specific Medicaid payment methodology. Available, referenceable algorithm logic found here: https://ahca.myflorida.com/medicaid/]",,,,0,other,,,No services performed during 15-month lookback period.
Clinic Visits and Related Services,5012,APC,,,,,facility,outpatient,,,,,,Evolutions Healthcare,Prime Other Commercial Plan,,70,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
Clinic Visits and Related Services,5012,APC,,,,,facility,outpatient,,,,,,Evolutions Healthcare,Select Ppo,,90,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
Clinic Visits and Related Services,5012,APC,,,,,facility,outpatient,,,,,,Florida Community Care,Medicaid Managed Care Plan,,,"[Outpatient Services: Payer leverages state specific Medicaid payment methodology. Available, referenceable algorithm logic found here: https://ahca.myflorida.com/medicaid/]",,,,0,other,,,No services performed during 15-month lookback period.
Clinic Visits and Related Services,5012,APC,,,,,facility,outpatient,,,,,,Gulf Coast Provider Network,All Commercial Plans,,75,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
Clinic Visits and Related Services,5012,APC,,,,,facility,outpatient,,,,,,Humana,Medicaid Managed Care Plan,,,"[Outpatient Services: Payer leverages state specific Medicaid payment methodology. Available, referenceable algorithm logic found here: https://ahca.myflorida.com/medicaid/]",169.39,169.39,395.08,1 through 10,other,,,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
Clinic Visits and Related Services,5012,APC,,,,,facility,outpatient,,,,,,Molina,Medicaid Managed Care Plan,,,"[Outpatient Services: Payer leverages state specific Medicaid payment methodology. Available, referenceable algorithm logic found here: https://ahca.myflorida.com/medicaid/]",,,,0,other,,,No services performed during 15-month lookback period.
Clinic Visits and Related Services,5012,APC,,,,,facility,outpatient,,,,,,Multiplan,All Commercial Plans,,78,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
Clinic Visits and Related Services,5012,APC,,,,,facility,outpatient,,,,,,Phcs,All Commercial Plans,,68,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
Clinic Visits and Related Services,5012,APC,,,,,facility,outpatient,,,,,,Prestige,Medicaid Managed Care Plan,,,"[Outpatient Services: Payer leverages state specific Medicaid payment methodology. Available, referenceable algorithm logic found here: https://ahca.myflorida.com/medicaid/]",,,,0,other,,,No services performed during 15-month lookback period.
